"id","timestampUTC","ai_win","moves","autoplay","ai_mode_id"
"1","1437141133","1","54","1","2"
"2","1437141331","0","34","0","2"
"3","1437141348","0","39","0","2"
"4","1437141385","1","43","0","2"
"5","1437141617","0","36","0","2"
"6","1437141632","1","42","0","2"
"7","1437141671","0","44","0","2"
"8","1437141716","1","42","0","2"
"9","1437141774","1","32","0","2"
"10","1437141801","0","38","0","2"
"11","1437141843","1","52","0","2"
"12","1437141884","1","39","0","2"
"13","1437141898","1","52","0","2"
"14","1437141937","1","30","0","2"
"15","1437141968","0","43","0","2"
"16","1437141982","0","40","0","2"
"17","1437141999","0","46","0","2"
"18","1437142037","1","60","0","2"
"19","1437142077","1","56","0","2"
"20","1437142092","0","45","0","2"
"21","1437142200","1","51","0","2"
"22","1437142226","0","30","0","2"
"23","1437142249","0","31","0","2"
"24","1437142252","1","35","0","2"
"25","1437142420","1","41","0","2"
"26","1437142629","1","34","0","2"
"27","1437142643","1","36","0","2"
"28","1437142661","1","48","0","2"
"29","1437142682","1","54","0","2"
"30","1437142699","0","32","0","2"
"31","1437142721","1","39","0","2"
"32","1437142860","0","45","0","2"
"33","1437142873","0","36","0","2"
"34","1437142881","1","39","0","2"
"35","1437142924","1","45","0","2"
"36","1437142928","1","44","0","2"
"37","1437142931","1","34","0","2"
"38","1437142952","0","31","0","2"
"39","1437142980","1","38","0","2"
"40","1437143034","0","47","0","2"
"41","1437143127","0","38","0","2"
"42","1437143172","1","55","0","2"
"43","1437143181","1","39","0","2"
"44","1437143198","1","41","0","2"
"45","1437143225","1","40","0","2"
"46","1437143263","0","46","0","2"
"47","1437143317","0","33","0","2"
"48","1437143449","1","49","0","2"
"49","1437143471","1","53","0","2"
"50","1437143493","1","39","0","2"
"51","1437143575","1","45","0","2"
"52","1437143638","1","49","0","2"
"53","1437143640","1","54","0","2"
"54","1437143709","1","33","0","2"
"55","1437143744","1","38","0","2"
"56","1437143755","0","36","0","2"
"57","1437143766","1","45","0","2"
"58","1437143774","1","43","0","2"
"59","1437143801","0","42","0","2"
"60","1437143803","1","52","0","2"
"61","1437143825","1","29","0","2"
"62","1437143848","1","53","0","2"
"63","1437143870","1","43","0","2"
"64","1437143874","1","41","0","2"
"65","1437143914","1","46","0","2"
"66","1437143978","0","46","0","2"
"67","1437144010","1","48","0","2"
"68","1437144014","0","46","0","2"
"69","1437144072","0","52","0","2"
"70","1437144074","0","50","0","2"
"71","1437144153","1","43","0","2"
"72","1437144159","1","49","0","2"
"73","1437144165","1","39","0","2"
"74","1437144221","1","34","0","2"
"75","1437144291","1","36","0","2"
"76","1437144316","1","41","0","2"
"77","1437144323","0","55","0","2"
"78","1437144376","0","33","0","2"
"79","1437144377","1","38","0","2"
"80","1437144462","1","41","0","2"
"81","1437144494","1","39","0","2"
"82","1437144502","1","50","0","2"
"83","1437144513","1","36","0","2"
"84","1437144522","0","48","0","2"
"85","1437144561","1","50","0","2"
"86","1437144563","1","29","0","2"
"87","1437144607","1","39","0","2"
"88","1437144626","1","37","0","2"
"89","1437144675","1","41","0","2"
"90","1437144686","1","45","0","2"
"91","1437144758","1","32","0","2"
"92","1437144760","1","41","0","2"
"93","1437144777","1","45","0","2"
"94","1437144794","1","60","0","2"
"95","1437144801","1","41","0","2"
"96","1437145009","0","37","0","2"
"97","1437145049","1","48","0","2"
"98","1437145051","0","33","0","2"
"99","1437145067","0","52","0","2"
"100","1437145160","1","55","0","2"
"101","1437145163","1","45","0","2"
"102","1437145170","1","33","0","2"
"103","1437145208","0","36","0","2"
"104","1437145344","1","31","0","2"
"105","1437145518","0","33","0","2"
"106","1437145561","1","47","0","2"
"107","1437145575","1","58","0","2"
"108","1437145585","0","42","0","2"
"109","1437145626","1","53","0","2"
"110","1437145632","0","57","0","2"
"111","1437145688","0","41","0","2"
"112","1437145699","0","38","0","2"
"113","1437145706","0","46","0","2"
"114","1437145739","1","51","0","2"
"115","1437145895","1","33","0","2"
"116","1437145909","1","35","0","2"
"117","1437145916","0","36","0","2"
"118","1437145941","0","37","0","2"
"119","1437145966","1","27","0","2"
"120","1437145975","1","34","0","2"
"121","1437145993","0","45","0","2"
"122","1437146028","1","47","0","2"
"123","1437146083","1","32","0","2"
"124","1437146156","1","41","0","2"
"125","1437146267","1","38","0","2"
"126","1437146310","0","42","0","2"
"127","1437146451","0","51","0","2"
"128","1437146462","1","44","0","2"
"129","1437146478","0","43","0","2"
"130","1437146513","1","29","0","2"
"131","1437146569","1","45","0","2"
"132","1437146574","0","44","0","2"
"133","1437146600","1","41","0","2"
"134","1437146626","0","29","0","2"
"135","1437146696","1","43","0","2"
"136","1437146784","1","61","0","2"
"137","1437146817","1","32","0","2"
"138","1437146825","1","33","0","2"
"139","1437146833","1","51","0","2"
"140","1437146837","0","32","0","2"
"141","1437146841","1","54","0","2"
"142","1437146850","0","34","0","2"
"143","1437146858","1","46","0","2"
"144","1437146878","1","47","0","2"
"145","1437146935","1","44","0","2"
"146","1437146937","1","34","0","2"
"147","1437146969","0","36","0","2"
"148","1437146978","1","57","0","2"
"149","1437146986","1","43","0","2"
"150","1437147015","0","44","0","2"
"151","1437147120","0","37","0","2"
"152","1437147126","0","40","0","2"
"153","1437147128","1","42","1","2"
"154","1437147147","0","40","0","2"
"155","1437147176","1","41","0","2"
"156","1437147177","1","49","0","2"
"157","1437147231","1","49","0","2"
"158","1437147271","1","32","0","2"
"159","1437147314","0","42","0","2"
"160","1437147316","0","45","0","2"
"161","1437147325","0","40","0","2"
"162","1437147382","1","40","0","2"
"163","1437147423","1","35","0","2"
"164","1437147463","0","35","0","2"
"165","1437147534","1","54","0","2"
"166","1437147573","0","48","0","2"
"167","1437147589","0","35","0","2"
"168","1437147599","0","41","0","2"
"169","1437147610","0","39","0","2"
"170","1437147687","1","40","0","2"
"171","1437147708","1","33","0","2"
"172","1437147767","1","37","0","2"
"173","1437147791","1","50","0","2"
"174","1437147875","1","33","0","2"
"175","1437147921","1","47","0","2"
"176","1437147956","0","54","0","2"
"177","1437148107","0","50","0","2"
